precinct,year,category,incident_count
1,2000,FELONY POSSESSION STOLEN PROPERTY            ,13
1,2001,FELONY POSSESSION STOLEN PROPERTY            ,14
1,2002,FELONY POSSESSION STOLEN PROPERTY            ,8
1,2003,FELONY POSSESSION STOLEN PROPERTY            ,7
1,2004,FELONY POSSESSION STOLEN PROPERTY            ,4
1,2005,FELONY POSSESSION STOLEN PROPERTY            ,6
1,2006,FELONY POSSESSION STOLEN PROPERTY            ,3
1,2007,FELONY POSSESSION STOLEN PROPERTY            ,13
1,2008,FELONY POSSESSION STOLEN PROPERTY            ,17
1,2009,FELONY POSSESSION STOLEN PROPERTY            ,13
1,2010,FELONY POSSESSION STOLEN PROPERTY            ,17
1,2011,FELONY POSSESSION STOLEN PROPERTY            ,15
1,2012,FELONY POSSESSION STOLEN PROPERTY            ,12
1,2013,FELONY POSSESSION STOLEN PROPERTY            ,10
1,2014,FELONY POSSESSION STOLEN PROPERTY            ,31
5,2000,FELONY POSSESSION STOLEN PROPERTY            ,7
5,2001,FELONY POSSESSION STOLEN PROPERTY            ,19
5,2002,FELONY POSSESSION STOLEN PROPERTY            ,10
5,2003,FELONY POSSESSION STOLEN PROPERTY            ,5
5,2004,FELONY POSSESSION STOLEN PROPERTY            ,5
5,2005,FELONY POSSESSION STOLEN PROPERTY            ,6
5,2006,FELONY POSSESSION STOLEN PROPERTY            ,15
5,2007,FELONY POSSESSION STOLEN PROPERTY            ,6
5,2008,FELONY POSSESSION STOLEN PROPERTY            ,5
5,2009,FELONY POSSESSION STOLEN PROPERTY            ,10
5,2010,FELONY POSSESSION STOLEN PROPERTY            ,14
5,2011,FELONY POSSESSION STOLEN PROPERTY            ,5
5,2012,FELONY POSSESSION STOLEN PROPERTY            ,10
5,2013,FELONY POSSESSION STOLEN PROPERTY            ,5
5,2014,FELONY POSSESSION STOLEN PROPERTY            ,8
6,2000,FELONY POSSESSION STOLEN PROPERTY            ,17
6,2001,FELONY POSSESSION STOLEN PROPERTY            ,13
6,2002,FELONY POSSESSION STOLEN PROPERTY            ,17
6,2003,FELONY POSSESSION STOLEN PROPERTY            ,14
6,2004,FELONY POSSESSION STOLEN PROPERTY            ,10
6,2005,FELONY POSSESSION STOLEN PROPERTY            ,9
6,2006,FELONY POSSESSION STOLEN PROPERTY            ,13
6,2007,FELONY POSSESSION STOLEN PROPERTY            ,14
6,2008,FELONY POSSESSION STOLEN PROPERTY            ,10
6,2009,FELONY POSSESSION STOLEN PROPERTY            ,17
6,2010,FELONY POSSESSION STOLEN PROPERTY            ,18
6,2011,FELONY POSSESSION STOLEN PROPERTY            ,15
6,2012,FELONY POSSESSION STOLEN PROPERTY            ,23
6,2013,FELONY POSSESSION STOLEN PROPERTY            ,18
6,2014,FELONY POSSESSION STOLEN PROPERTY            ,39
7,2000,FELONY POSSESSION STOLEN PROPERTY            ,13
7,2001,FELONY POSSESSION STOLEN PROPERTY            ,10
7,2002,FELONY POSSESSION STOLEN PROPERTY            ,17
7,2003,FELONY POSSESSION STOLEN PROPERTY            ,8
7,2004,FELONY POSSESSION STOLEN PROPERTY            ,11
7,2005,FELONY POSSESSION STOLEN PROPERTY            ,17
7,2006,FELONY POSSESSION STOLEN PROPERTY            ,8
7,2007,FELONY POSSESSION STOLEN PROPERTY            ,7
7,2008,FELONY POSSESSION STOLEN PROPERTY            ,5
7,2009,FELONY POSSESSION STOLEN PROPERTY            ,3
7,2010,FELONY POSSESSION STOLEN PROPERTY            ,10
7,2011,FELONY POSSESSION STOLEN PROPERTY            ,7
7,2012,FELONY POSSESSION STOLEN PROPERTY            ,6
7,2013,FELONY POSSESSION STOLEN PROPERTY            ,10
7,2014,FELONY POSSESSION STOLEN PROPERTY            ,15
9,2000,FELONY POSSESSION STOLEN PROPERTY            ,21
9,2001,FELONY POSSESSION STOLEN PROPERTY            ,18
9,2002,FELONY POSSESSION STOLEN PROPERTY            ,15
9,2003,FELONY POSSESSION STOLEN PROPERTY            ,10
9,2004,FELONY POSSESSION STOLEN PROPERTY            ,18
9,2005,FELONY POSSESSION STOLEN PROPERTY            ,8
9,2006,FELONY POSSESSION STOLEN PROPERTY            ,13
9,2007,FELONY POSSESSION STOLEN PROPERTY            ,8
9,2008,FELONY POSSESSION STOLEN PROPERTY            ,7
9,2009,FELONY POSSESSION STOLEN PROPERTY            ,8
9,2010,FELONY POSSESSION STOLEN PROPERTY            ,18
9,2011,FELONY POSSESSION STOLEN PROPERTY            ,16
9,2012,FELONY POSSESSION STOLEN PROPERTY            ,12
9,2013,FELONY POSSESSION STOLEN PROPERTY            ,11
9,2014,FELONY POSSESSION STOLEN PROPERTY            ,16
10,2000,FELONY POSSESSION STOLEN PROPERTY            ,11
10,2001,FELONY POSSESSION STOLEN PROPERTY            ,17
10,2002,FELONY POSSESSION STOLEN PROPERTY            ,5
10,2003,FELONY POSSESSION STOLEN PROPERTY            ,16
10,2004,FELONY POSSESSION STOLEN PROPERTY            ,22
10,2005,FELONY POSSESSION STOLEN PROPERTY            ,15
10,2006,FELONY POSSESSION STOLEN PROPERTY            ,15
10,2007,FELONY POSSESSION STOLEN PROPERTY            ,17
10,2008,FELONY POSSESSION STOLEN PROPERTY            ,14
10,2009,FELONY POSSESSION STOLEN PROPERTY            ,12
10,2010,FELONY POSSESSION STOLEN PROPERTY            ,8
10,2011,FELONY POSSESSION STOLEN PROPERTY            ,16
10,2012,FELONY POSSESSION STOLEN PROPERTY            ,17
10,2013,FELONY POSSESSION STOLEN PROPERTY            ,21
10,2014,FELONY POSSESSION STOLEN PROPERTY            ,9
13,2000,FELONY POSSESSION STOLEN PROPERTY            ,17
13,2001,FELONY POSSESSION STOLEN PROPERTY            ,19
13,2002,FELONY POSSESSION STOLEN PROPERTY            ,21
13,2003,FELONY POSSESSION STOLEN PROPERTY            ,23
13,2004,FELONY POSSESSION STOLEN PROPERTY            ,12
13,2005,FELONY POSSESSION STOLEN PROPERTY            ,15
13,2006,FELONY POSSESSION STOLEN PROPERTY            ,8
13,2007,FELONY POSSESSION STOLEN PROPERTY            ,21
13,2008,FELONY POSSESSION STOLEN PROPERTY            ,25
13,2009,FELONY POSSESSION STOLEN PROPERTY            ,28
13,2010,FELONY POSSESSION STOLEN PROPERTY            ,16
13,2011,FELONY POSSESSION STOLEN PROPERTY            ,22
13,2012,FELONY POSSESSION STOLEN PROPERTY            ,15
13,2013,FELONY POSSESSION STOLEN PROPERTY            ,24
13,2014,FELONY POSSESSION STOLEN PROPERTY            ,34
14,2000,FELONY POSSESSION STOLEN PROPERTY            ,71
14,2001,FELONY POSSESSION STOLEN PROPERTY            ,74
14,2002,FELONY POSSESSION STOLEN PROPERTY            ,65
14,2003,FELONY POSSESSION STOLEN PROPERTY            ,27
14,2004,FELONY POSSESSION STOLEN PROPERTY            ,30
14,2005,FELONY POSSESSION STOLEN PROPERTY            ,57
14,2006,FELONY POSSESSION STOLEN PROPERTY            ,68
14,2007,FELONY POSSESSION STOLEN PROPERTY            ,51
14,2008,FELONY POSSESSION STOLEN PROPERTY            ,52
14,2009,FELONY POSSESSION STOLEN PROPERTY            ,31
14,2010,FELONY POSSESSION STOLEN PROPERTY            ,65
14,2011,FELONY POSSESSION STOLEN PROPERTY            ,33
14,2012,FELONY POSSESSION STOLEN PROPERTY            ,28
14,2013,FELONY POSSESSION STOLEN PROPERTY            ,31
14,2014,FELONY POSSESSION STOLEN PROPERTY            ,41
17,2000,FELONY POSSESSION STOLEN PROPERTY            ,15
17,2001,FELONY POSSESSION STOLEN PROPERTY            ,4
17,2002,FELONY POSSESSION STOLEN PROPERTY            ,9
17,2003,FELONY POSSESSION STOLEN PROPERTY            ,8
17,2004,FELONY POSSESSION STOLEN PROPERTY            ,4
17,2005,FELONY POSSESSION STOLEN PROPERTY            ,4
17,2006,FELONY POSSESSION STOLEN PROPERTY            ,7
17,2007,FELONY POSSESSION STOLEN PROPERTY            ,7
17,2008,FELONY POSSESSION STOLEN PROPERTY            ,6
17,2009,FELONY POSSESSION STOLEN PROPERTY            ,2
17,2010,FELONY POSSESSION STOLEN PROPERTY            ,1
17,2011,FELONY POSSESSION STOLEN PROPERTY            ,5
17,2012,FELONY POSSESSION STOLEN PROPERTY            ,3
17,2013,FELONY POSSESSION STOLEN PROPERTY            ,3
17,2014,FELONY POSSESSION STOLEN PROPERTY            ,5
18,2000,FELONY POSSESSION STOLEN PROPERTY            ,27
18,2001,FELONY POSSESSION STOLEN PROPERTY            ,26
